Câu,.docx Đáp Án,.ts Đáp Án,Câu Hỏi (excerpt),Status
300,3,2,"Khi vượt xe khác cùng chiều, người lái xe cần lưu ý những vấ...",CẦN SỬA
301,2,3,"Khi điều khiển xe ô tô qua đường sắt không có rào chắn, khôn...",CẦN SỬA
303,1,2,"Khi tầm nhìn hạn chế bởi sương mù, người lái xe điều khiển x...",CẦN SỬA
304,0,1,"Khi điều khiển xe ô tô gặp mưa to, người lái xe phải làm gì?",CẦN SỬA
306,3,0,"Khi điều khiển xe trên đường cao tốc, người lái xe phải chú ...",CẦN SỬA
308,3,2,"Khi lái xe ô tô đi trên đường ngập nước, người lái xe xử lý ...",CẦN SỬA
310,1,3,"Khi điều khiển xe ô tô loại chuyển số tự động, người lái xe ...",CẦN SỬA
311,0,1,"Khi đỗ xe ô tô loại chuyển số tự động, người lái xe phải thự...",CẦN SỬA
312,1,0,"Khi lái xe ô tô trên mặt đường lồi lõm, người lái xe phải th...",CẦN SỬA
314,0,1,"Khi lái xe ô tô vào ban đêm, người lái xe phải xử lý như thế...",CẦN SỬA
315,3,0,"Muốn vượt xe khác trong khu đô thị, người lái xe phải xử lý ...",CẦN SỬA
316,3,2,"Khi điều khiển xe ô tô lên, xuống phà, người lái xe phải xử ...",CẦN SỬA
318,0,3,Khi điều khiển xe ô tô loại chuyển số tự động đi vào đoạn đư...,CẦN SỬA
321,0,3,Khi điều khiển xe ô tô tránh nhau ở đường nhỏ hoặc vào cua m...,CẦN SỬA
324,2,0,"Khi muốn quay đầu xe tại nơi đường đôi, người lái xe cần xử ...",CẦN SỬA
325,3,0,"Khi xe gặp sự cố kỹ thuật trên đường cao tốc, người lái xe p...",CẦN SỬA
326,0,2,"Khi đi từ đường nhánh ra đường chính, người lái xe phải xử l...",CẦN SỬA
328,1,0,"Khi đang lái xe ô tô, nếu có nhu cầu sử dụng điện thoại, ngư...",CẦN SỬA
330,2,1,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
331,0,3,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
332,1,2,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
333,3,0,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
334,3,1,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
335,2,3,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
336,1,3,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
339,3,2,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
341,2,3,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
342,0,1,"Khi động cơ đã hoạt động, bảng đồng hồ xuất hiện biểu tượng ...",CẦN SỬA
344,2,0,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
345,0,2,Xe nào phải nhường đường trong trường hợp này?,CẦN SỬA
346,0,2,Trong trường hợp này xe nào được quyền đi trước?,CẦN SỬA
348,0,1,Xe nào phải nhường đường trong trường hợp này?,CẦN SỬA
352,0,2,"Theo tín hiệu đèn, xe nào phải dừng lại là đúng quy tắc giao...",CẦN SỬA
353,1,0,"Theo tín hiệu đèn, xe ô tô tải đi theo hướng nào là đúng quy...",CẦN SỬA
357,0,2,"Theo hướng mũi tên, hướng nào xe không được phép đi?",CẦN SỬA
358,1,0,"Theo hướng mũi tên, những hướng nào xeô tô không được phép đ...",CẦN SỬA
359,0,1,Xe nào được quyền đi trước trong trường hợp này?,CẦN SỬA
360,1,2,"Theo hướng mũi tên, những hướng nào xe ô tô con được phép đi...",CẦN SỬA
361,3,1,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
362,0,2,"Theo hướng mũi tên, những hướng nào xe ô tô tải được phép đi...",CẦN SỬA
363,0,3,Những hướng nào xe ô tô tải được phép đi?,CẦN SỬA
364,1,0,Những hướng nào xe ô tô tải được phép đi?,CẦN SỬA
365,0,1,Xe ô tô con đi theo chiều mũi tên có vi phạm quy tắc giao th...,CẦN SỬA
366,0,2,"Theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",CẦN SỬA
367,2,1,"Theo hiệu lệnh của người điều khiển giao thông, các xe đi nh...",CẦN SỬA
368,0,1,"Theo hiệu lệnh của người điều khiển giao thông, xe nào được ...",CẦN SỬA
369,0,2,Xe ô tô con vượt xe ô tô tải như trường hợp này có đúng khôn...,CẦN SỬA
371,2,0,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
372,0,1,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
373,0,2,Những hướng nào xe ô tô tải được phép đi?,CẦN SỬA
376,0,1,"Theo hướng mũi tên, những hướng nào xe mô tô được phép đi?",CẦN SỬA
377,0,3,"Theo tín hiệu đèn, xe nào phải dừng lại là đúng quy tắc giao...",CẦN SỬA
378,0,1,Xe nào phải nhường đường là đúng quy tắc giao thông?,CẦN SỬA
380,0,1,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao th...",CẦN SỬA
381,1,2,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao th...",CẦN SỬA
382,0,1,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao th...",CẦN SỬA
384,2,0,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",CẦN SỬA
385,0,2,"Theo tín hiệu đèn, xe nào phải dừng lại là đúng quy tắc giao...",CẦN SỬA
386,0,2,Xe ô tô con quay đầu xe đi ngược lại như hình vẽ dưới có vi ...,CẦN SỬA
387,1,0,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
388,0,1,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
389,0,1,Xe nào phải nhường đường là đúng quy tắc giao thông?,CẦN SỬA
392,0,1,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
393,1,0,Xe nào được quyền đi trước trong trường hợp này?,CẦN SỬA
396,1,0,"Trong trường hợp này, thứ tự các xe đi như thế nào là đúng q...",CẦN SỬA
398,0,1,Xe nào phải nhường là đúng quy tắc giao thông?,CẦN SỬA
399,0,2,Xe nào đi trước là đúng quy tắc giao thông?,CẦN SỬA
401,2,1,Thứ tự các xe đi như thế nào là đúng quy tắc giao thông?,CẦN SỬA
402,1,0,"Khi muốn vượt xe ô tô tải, anh (chị) phải làm gì là đúng quy...",CẦN SỬA
403,1,2,"Trong hình dưới đây, những xe nào vi phạm quy tắc giao thông...",CẦN SỬA
404,0,1,Anh (chị) có được vượt xe phía trước trong ngã tư để đi thẳn...,CẦN SỬA
405,0,1,Xe của anh (chị) có được phép vượt xe mô tô phía trước không...,CẦN SỬA
406,0,1,Anh (chị) dừng xe tại vị trí nào là đúng quy tắc giao thông?,CẦN SỬA
407,0,1,Xe của anh (chị) được đỗ ở vị trí nào trong tình huống này?,CẦN SỬA
408,0,1,"Trong hình dưới, những xe nào vi phạm quy tắc giao thông?",CẦN SỬA
409,2,0,Anh (chị) phải điều khiển xe rẽ trái như thế nào là đúng quy...,CẦN SỬA
410,2,1,"Khi xe phía trước đang lùi ra khỏi nơi đỗ, anh (chị) xử lý n...",CẦN SỬA
411,0,2,Xe nào vượt đúng quy tắc giao thông?,CẦN SỬA
412,1,2,"Khi điều khiển xe trên đường, gặp chướng ngại vật (xe hỏng p...",CẦN SỬA
413,0,2,"Trong trường hợp này, anh (chị) xử lý như thế nào là đúng qu...",CẦN SỬA
414,0,1,Xe kéo nhau trong trường hợp này đúng quy định không?,CẦN SỬA
418,2,1,Xe của anh (chị) được đi theo những hướng nào trong trường h...,CẦN SỬA
420,0,2,Xe nào vượt đúng quy tắc giao thông?,CẦN SỬA
422,0,1,Xe nào đỗ vi phạm quy tắc giao thông?,CẦN SỬA
423,0,1,Xe nào đỗ vi phạm quy tắc giao thông?,CẦN SỬA
426,0,1,"Trong tình huống dưới đây, xe ô tô màu vàng vượt xe ô tô màu...",CẦN SỬA
427,2,0,"Trong tình huống này, xe ô tô con muốn quay đầu thì phải xử ...",CẦN SỬA
428,2,0,Anh (chị) xử lý như thế nào trong trường hợp này?,CẦN SỬA
429,1,2,"Xe container đang rẽ phải, các phương tiện phía sau đi như t...",CẦN SỬA
430,0,2,Xe nào vi phạm quy tắc giao thông?,CẦN SỬA
431,3,1,Các xe đi như thế nào là đúng quy tắc giao thông đường bộ?,CẦN SỬA
433,1,3,Anh (chị) điều khiển xe như thế nào là đúng quy tắc giao thô...,CẦN SỬA
434,0,1,"Tình huống này, để điều khiển cho xe đi thẳng anh (chị) phải...",CẦN SỬA
435,0,1,"Theo tín hiệu đèn của xe cơ giới, xe nào vi phạm quy tắc gia...",CẦN SỬA
439,0,1,"Trong trường hợp này, xe nào phải dừng lại là đúng quy tắc g...",CẦN SỬA
440,0,1,Xe của anh (chị) được đi theo hướng nào trong trường hợp này...,CẦN SỬA
441,1,0,Anh (chị) xử lý như thế nào trong trường hợp này?,CẦN SỬA
442,0,1,Xe nào phải nhường đường trong trường hợp này?,CẦN SỬA
444,0,1,"Trong tình huống này, xe ô tô màu đỏ hay xe ô tô màu trắng p...",CẦN SỬA
445,0,1,"Trong tình huống này, xe ô tô con màu đỏ có được phép vượt k...",CẦN SỬA
447,0,1,"Trong trường hợp này, xe ô tô con rẽ phải vào làn đường nào ...",CẦN SỬA
448,0,1,"Trong tình huống này, xe ô tô con có đi đúng quy tắc giao th...",CẦN SỬA
449,0,1,"Trong trường hợp này, xe ô tô con có được vượt xe ô tô khách...",CẦN SỬA
451,1,0,Xe của anh (chị) có được phép vượt xe ô tô tải trong trường ...,CẦN SỬA
453,0,1,"Trong trường hợp này, xe ô tô có được phép vượt xe mô tô khô...",CẦN SỬA
454,3,1,Văn hóa giao thông được hiểu như thế nào là đúng?,CẦN SỬA
455,3,0,Văn hóa giao thông của người lái xe Công an nhân dân gồm nhữ...,CẦN SỬA
457,0,3,Người lái xe phục vụ lãnh đạo trong Công an nhân dân phải đả...,CẦN SỬA
458,0,3,Trách nhiệm của người lái xe khi thực hiện nhiệm vụ dẫn đoàn...,CẦN SỬA
459,1,0,"Yêu cầu đối với người lái xe khi thực hiện nhiệm vụ cảnh vệ,...",CẦN SỬA
460,2,0,"Theo thống kê, phân tích của các cơ quan chức năng, nguyên",CẦN SỬA
461,0,1,"Mục đích tuyên truyền, phổ biến, giáo dục pháp luật về TTATG...",CẦN SỬA
462,3,2,"“Tiêu chí văn hoá giao thông đường bộ” do Bộ Văn hoá, Thể",CẦN SỬA
463,3,0,"“Tiêu chí Văn hóa giao thông đường bộ"" do Bộ Văn hóa, Thể th...",CẦN SỬA
466,1,3,Người có Giấy phép lái xe do ngành Công an cấp khi không phụ...,CẦN SỬA
467,3,0,Người tham gia giao thông phải đảm bảo những tiêu chí văn hó...,CẦN SỬA
468,2,1,"Để xây dựng văn hóa giao thông, người tham gia giao thông cầ...",CẦN SỬA
469,1,3,"Khi lái xe ô tô trên đường, gặp người đi xe đạp bị ngã gần t...",CẦN SỬA
470,3,2,"Khi đang lái xe, anh (chị) nhìn thấy xe đi phía trước chở vậ...",CẦN SỬA
472,0,3,"Kết thúc buổi liên hoan mà tất cả mọi người đều đã uống bia,",CẦN SỬA
473,0,1,"Khi lái xe ô tô ở đoạn đường có công trường thi công, phía t...",CẦN SỬA
474,1,0,"Khi lái xe tham gia giao thông, bị một xe mô tô bất ngờ tạt ...",CẦN SỬA
475,1,0,"Khi lái xe tham gia giao thông vào ban đêm, gặp xe đi ngược ...",CẦN SỬA
476,2,1,"Khi lái xe, gặp tình huống người dẫn gia súc vượt qua đường,...",CẦN SỬA
477,0,1,"Lái xe trên đường có vũng nước đọng, đang có người đi xe đạp...",CẦN SỬA
479,2,1,Khi thấy người vi phạm pháp luật về TTATGTĐB có hành vi lăng,CẦN SỬA
480,3,2,Khi người tham gia giao thông không chấp hành tín hiệu đèn,CẦN SỬA
481,1,2,"Khi người thân của anh (chị) phơi thóc, rơm rạ, nông sản trê...",CẦN SỬA
482,0,3,Khi tham gia giao thông phát hiện trên đường phố bị đổ nhiều,CẦN SỬA
483,0,1,Anh (chị) nên làm như thế nào khi người thân mua xe ô tô,CẦN SỬA
484,2,0,"Điều khiển phương tiện trên đường cao tốc, gặp đoạn ùn tắc, ...",CẦN SỬA
485,1,0,"Điều khiển phương tiện ô tô trên đường hai chiều, ở chiều đư...",CẦN SỬA
486,1,2,Anh (chị) cho biết ý kiến của mình về hành vi đè lên vạch kê...,CẦN SỬA
488,0,1,"Sau mưa lớn, một đoạn đường bị sụt, lún gây cản trở, mất an",CẦN SỬA
489,0,1,"Trong các loại bình chữa cháy dưới đây, loại bình nào phù hợ...",CẦN SỬA
490,1,0,Theo Anh (chị) có nên sử dụng bình khí C02 đối với các đám,CẦN SỬA
491,3,0,Anh (chị) hãy cho biết các nguyên nhân sinh ra nhiệt từ phươ...,CẦN SỬA
492,3,1,Theo Anh (chị) để hệ thống điện trên phương tiện giao thông ...,CẦN SỬA
495,0,3,"Khi phát hiện thấy có ngọn lửa, khói hoặc nhiệt độ cao bất",CẦN SỬA
496,0,3,Sau khi đã dập tắt ngọn lửa của phương tiện giao thông cơ gi...,CẦN SỬA
498,3,0,"Khi gặp nạn nhân bị bỏng trong vụ tai nạn giao thông, anh (c...",CẦN SỬA
